Feature,Importance
Bit 1031,0.014195034
Bit 1258,0.009596587
Bit 1476,0.007152934
Bit 1380,0.005989935
Bit 504,0.0045316736
Bit 795,0.003586098
Bit 350,0.0033692694
Bit 1009,0.0029802013
Bit 1622,0.0029187012
Bit 501,0.0029156667
Bit 1050,0.0028091704
Bit 1774,0.0024735879
Bit 526,0.0023780123
Bit 1012,0.0023767122
Bit 383,0.0022973686
Bit 1579,0.002255404
Bit 1263,0.002209031
Bit 1060,0.0020138358
Bit 158,0.001992412
Bit 545,0.001947458
Bit 1577,0.001901878
Bit 1696,0.0018977394
Bit 1457,0.0018933348
Bit 1393,0.0018566931
Bit 1029,0.0018480967
Bit 928,0.0017990893
Bit 392,0.0017965236
Bit 534,0.0017316468
Bit 802,0.0015935262
Bit 1873,0.0015760439
Bit 1007,0.0015614044
Bit 516,0.001558523
Bit 342,0.0015446852
Bit 1968,0.0014977441
Bit 812,0.0014752927
Bit 677,0.0014626168
Bit 1536,0.0014609345
Bit 286,0.0014586458
Bit 404,0.0014522275
Bit 902,0.0014470827
Bit 162,0.0014411432
Bit 645,0.0014306376
Bit 996,0.0014006051
Bit 636,0.0013922317
Bit 1935,0.0013722044
Bit 1247,0.0013712789
Bit 99,0.0013627143
Bit 1351,0.0013562705
Bit 1226,0.001355558
Bit 1118,0.0013530641
Bit 952,0.0013494965
Bit 2011,0.0013356351
Bit 1885,0.0013018497
Bit 45,0.0012979002
Bit 998,0.0012939414
Bit 1301,0.0012627287
Bit 1820,0.0012596839
Bit 313,0.0012560711
Bit 1186,0.0012507739
Bit 602,0.0012454969
Bit 431,0.0012099479
Bit 1160,0.0012050729
Bit 1823,0.0012002281
Bit 114,0.0011974234
Bit 595,0.0011904262
Bit 751,0.0011765166
Bit 1491,0.0011718796
Bit 991,0.0011655496
Bit 2023,0.0011585999
Bit 172,0.0011438222
Bit 564,0.0011437058
Bit 1582,0.0011413724
Bit 1177,0.0011310602
Bit 1757,0.0011071791
Bit 1055,0.0011070984
Bit 933,0.0011032851
Bit 1362,0.0011002496
Bit 1882,0.0010992258
Bit 169,0.0010977412
Bit 1241,0.001094409
Bit 1219,0.0010913763
Bit 1038,0.0010912538
Bit 701,0.0010862136
Bit 1019,0.0010780615
Bit 591,0.0010773857
Bit 858,0.0010682124
Bit 42,0.0010655565
Bit 479,0.0010543388
Bit 674,0.0010452032
Bit 660,0.0010374251
Bit 1906,0.0010372528
Bit 1502,0.0010282646
Bit 230,0.0010210229
Bit 117,0.0010182497
Bit 203,0.0010160531
Bit 1442,0.0010151167
Bit 1123,0.0010143451
Bit 1959,0.0010104115
Bit 1953,0.0010044192
Bit 1162,0.0010019309
Bit 1262,0.0010011833
Bit 97,0.0010006302
Bit 686,0.0009984308
Bit 748,0.0009971097
Bit 899,0.000995587
Bit 922,0.0009908058
Bit 1354,0.000990057
Bit 593,0.0009810155
Bit 1398,0.000975559
Bit 1688,0.000972134
Bit 213,0.0009692677
Bit 1692,0.00096862396
Bit 1425,0.00096812914
Bit 1993,0.00096811086
Bit 1252,0.0009613416
Bit 31,0.0009611808
Bit 725,0.000958734
Bit 1765,0.00094934145
Bit 1140,0.00094295223
Bit 247,0.00093923305
Bit 880,0.0009319143
Bit 1124,0.00092478946
Bit 864,0.00092120137
Bit 1974,0.000919349
Bit 1911,0.0009177526
Bit 924,0.0009125752
Bit 1657,0.00091140467
Bit 1618,0.0009063694
Bit 173,0.0009055451
Bit 1005,0.0009007712
Bit 344,0.00089666503
Bit 704,0.0008959471
Bit 1629,0.0008928383
Bit 326,0.00088984345
Bit 74,0.00088879885
Bit 738,0.0008883147
Bit 1218,0.0008856555
Bit 1001,0.00087455683
Bit 1710,0.00087307236
Bit 1076,0.00087226526
Bit 1750,0.0008716055
Bit 884,0.00087077875
Bit 581,0.0008629425
Bit 1858,0.0008610076
Bit 867,0.00085715024
Bit 1171,0.0008565276
Bit 1560,0.0008542946
Bit 1903,0.0008520366
Bit 1024,0.000850167
Bit 791,0.000848821
Bit 1681,0.00084375974
Bit 235,0.0008432648
Bit 357,0.00084136066
Bit 153,0.0008407768
Bit 215,0.00083721534
Bit 463,0.00083512394
Bit 881,0.0008310368
Bit 693,0.0008266912
Bit 790,0.0008234576
Bit 1440,0.00082314096
Bit 1965,0.00082295755
Bit 280,0.0008217766
Bit 796,0.0008173397
Bit 1926,0.00081455486
Bit 15,0.000813074
Bit 667,0.0008128215
Bit 879,0.0008115102
Bit 1713,0.000810246
Bit 873,0.0008093872
Bit 1163,0.0008078866
Bit 1058,0.00080528174
Bit 737,0.00080416765
Bit 163,0.00080058654
Bit 128,0.0008002333
Bit 730,0.00079804007
Bit 514,0.0007970163
Bit 1292,0.0007943386
Bit 941,0.00079395593
Bit 657,0.0007931005
Bit 33,0.0007928403
Bit 1071,0.000792453
Bit 132,0.00079211686
Bit 490,0.00079098577
Bit 1119,0.0007884341
Bit 988,0.00078548706
Bit 339,0.00078546617
Bit 803,0.00078525674
Bit 1454,0.00078409654
Bit 1684,0.000784034
Bit 1173,0.0007827909
Bit 1143,0.0007825899
Bit 1892,0.0007788921
Bit 1697,0.00077791075
Bit 1180,0.0007752033
Bit 994,0.000771276
Bit 499,0.00077021035
Bit 883,0.0007685477
Bit 1571,0.0007656317
Bit 1366,0.00076478143
Bit 755,0.0007632447
Bit 1638,0.0007631984
Bit 1617,0.00076187216
Bit 361,0.00075662014
Bit 663,0.0007564264
Bit 1438,0.0007548127
Bit 1900,0.0007547081
Bit 576,0.0007544108
Bit 424,0.0007525359
Bit 341,0.000751597
Bit 1620,0.00075008074
Bit 1946,0.00074655766
Bit 2008,0.0007464679
Bit 1375,0.0007443534
Bit 1116,0.0007431244
Bit 1154,0.00074062735
Bit 222,0.0007400679
Bit 1184,0.00073804735
Bit 1944,0.0007345109
Bit 428,0.0007337487
Bit 1326,0.0007328435
Bit 631,0.0007318035
Bit 413,0.0007305589
Bit 804,0.0007298975
Bit 1847,0.0007291563
Bit 767,0.00072839507
Bit 468,0.0007264503
Bit 808,0.0007238952
Bit 698,0.0007226174
Bit 1196,0.00072215096
Bit 1923,0.0007199619
Bit 1753,0.00071684615
Bit 694,0.0007151554
Bit 1303,0.0007147383
Bit 1036,0.0007105508
Bit 1233,0.00071024866
Bit 148,0.00070929143
Bit 416,0.00070896326
Bit 386,0.0007077292
Bit 1591,0.0007071548
Bit 1894,0.000705198
Bit 1083,0.00070454064
Bit 367,0.00070356246
Bit 1960,0.0007024214
Bit 1315,0.00070048013
Bit 166,0.0006987495
Bit 1698,0.0006979552
Bit 866,0.00069437164
Bit 1105,0.0006937355
Bit 769,0.00069370505
Bit 1986,0.00069331966
Bit 743,0.0006917649
Bit 714,0.000690999
Bit 1558,0.0006887835
Bit 90,0.00068833167
Bit 1414,0.0006880919
Bit 46,0.00068807695
Bit 1339,0.0006867373
Bit 771,0.0006864389
Bit 885,0.000685256
Bit 324,0.00068493927
Bit 1920,0.00068223715
Bit 186,0.00068161596
Bit 1456,0.00068157824
Bit 1051,0.00068106275
Bit 888,0.0006809494
Bit 1990,0.0006781491
Bit 1132,0.000677986
Bit 1695,0.0006774861
Bit 1543,0.00067690626
Bit 582,0.00067627465
Bit 462,0.00067608623
Bit 1778,0.0006758803
Bit 307,0.0006755299
Bit 505,0.00067477545
Bit 1281,0.00067383744
