Feature,Importance
Bit 981,0.010712106234693767
Bit 650,0.01007466758644393
Bit 807,0.00936499586908571
Bit 1168,0.008401667748444608
Bit 1917,0.007301085012888354
Bit 1019,0.006772486529201434
Bit 909,0.0048370922373268226
Bit 1504,0.0041715234079193015
Bit 314,0.0041452090365064476
Bit 1004,0.0037090286716032674
Bit 935,0.0034775273221330214
Bit 1057,0.002927974182545077
Bit 739,0.00289868403295564
Bit 222,0.00279333709270695
Bit 2009,0.0026574350977417254
Bit 1804,0.002596235972187665
Bit 99,0.0025747237770271767
Bit 216,0.002551085885953791
Bit 1257,0.0025443910713055483
Bit 1312,0.0024817090340492655
Bit 647,0.002296930276237127
Bit 888,0.00222306749076452
Bit 1631,0.002146000080322111
Bit 1557,0.0020827126769079117
Bit 497,0.0020579827358363422
Bit 1325,0.002016543978454392
Bit 283,0.0019840843597895945
Bit 378,0.0019635898622925004
Bit 1510,0.0019173710230175002
Bit 1840,0.0018884264811112551
Bit 656,0.0018630342591972294
Bit 1171,0.0018282445240615198
Bit 737,0.0018238727733553585
Bit 1998,0.0018076338434702102
Bit 1750,0.0017518896432735563
Bit 1,0.0016712561932285652
Bit 875,0.0016409586412903562
Bit 255,0.0016127247214451253
Bit 854,0.0015943828155638002
Bit 926,0.001586607712307131
Bit 784,0.0015819494940058892
Bit 1791,0.001576277881174691
Bit 896,0.0015671697372480287
Bit 1452,0.001566128643650676
Bit 1993,0.0015410154535443327
Bit 1754,0.0015365644088836529
Bit 694,0.0015363784244351159
Bit 389,0.0015136413002456264
Bit 937,0.0015110623397745061
Bit 1416,0.0015083602504249597
Bit 310,0.0014952202677896522
Bit 1357,0.0014867339790228659
Bit 1696,0.0014708426236496811
Bit 1573,0.001452807967341203
Bit 1152,0.001448769083108887
Bit 1722,0.0014470316230816422
Bit 841,0.0014286252043022153
Bit 1779,0.0014185395337698403
Bit 1889,0.0014113218111131108
Bit 1950,0.0013980700948190402
Bit 1412,0.0013590001281265376
Bit 1169,0.0013202726480671743
Bit 1535,0.0013192879559705936
Bit 1199,0.0012981928974204581
Bit 385,0.001282935095694755
Bit 1009,0.0012735121037702527
Bit 728,0.0012725343447469166
Bit 1096,0.0012713890047602627
Bit 885,0.0012599231929718165
Bit 1071,0.001240264590584799
Bit 1972,0.0012366500791424785
Bit 2,0.0012357078433630018
Bit 1478,0.001231567563339177
Bit 837,0.0012242821491033381
Bit 1731,0.0012242018771876173
Bit 798,0.0012141369742337627
Bit 2013,0.001213478156082281
Bit 361,0.0012071045029617233
Bit 1520,0.0012066109711043114
Bit 1292,0.0012061369155163734
Bit 1866,0.001198357962353565
Bit 1990,0.001187752979118661
Bit 690,0.0011850863446024886
Bit 289,0.0011820986740924237
Bit 1457,0.0011721285952350146
Bit 165,0.0011577721044364925
Bit 667,0.0011509821818113965
Bit 504,0.0011300133717049923
Bit 226,0.001121660668194098
Bit 908,0.001098123456729793
Bit 680,0.001096498349914181
Bit 816,0.0010943574102184066
Bit 1721,0.0010819572901175879
Bit 980,0.0010774475733681267
Bit 1060,0.001071172251158355
Bit 1097,0.001065420439632389
Bit 1160,0.0010649278384073015
Bit 338,0.0010600357482495177
Bit 1956,0.0010589826797562669
Bit 1536,0.0010571678029299223
Bit 695,0.0010526351623499897
Bit 448,0.0010453832437695941
Bit 184,0.0010449556259382895
