Feature,Importance
Bit 1152,460
Bit 935,386
Bit 378,339
Bit 1057,332
Bit 1171,311
Bit 1917,309
Bit 80,308
Bit 926,308
Bit 875,300
Bit 1088,285
Bit 650,278
Bit 389,268
Bit 1019,267
Bit 807,258
Bit 695,255
Bit 1,237
Bit 1199,208
Bit 1114,202
Bit 1452,176
Bit 314,172
Bit 1722,170
Bit 1855,147
Bit 1683,129
Bit 1750,125
Bit 222,124
Bit 656,120
Bit 1060,115
Bit 1480,110
Bit 1457,106
Bit 1325,92
Bit 1357,87
Bit 1873,87
Bit 227,85
Bit 191,79
Bit 1385,76
Bit 1764,75
Bit 114,73
Bit 881,73
Bit 294,73
Bit 1145,69
Bit 675,65
Bit 1976,64
Bit 1947,63
Bit 739,59
Bit 694,59
Bit 841,57
Bit 1476,56
Bit 1292,56
Bit 1224,56
Bit 957,55
Bit 1607,54
Bit 1160,54
Bit 1028,53
Bit 2009,53
Bit 1754,53
Bit 561,52
Bit 1866,52
Bit 1391,51
Bit 715,50
Bit 1380,49
Bit 1911,49
Bit 283,47
Bit 1039,47
Bit 255,47
Bit 860,46
Bit 322,46
Bit 1832,46
Bit 1257,46
Bit 1816,43
Bit 1238,42
Bit 667,41
Bit 1928,41
Bit 1416,40
Bit 1791,40
Bit 703,40
Bit 843,39
Bit 750,39
Bit 1158,39
Bit 981,39
Bit 140,37
Bit 1126,37
Bit 1477,37
Bit 486,37
Bit 2,36
Bit 249,36
Bit 1849,36
Bit 251,35
Bit 1910,35
Bit 319,34
Bit 638,34
Bit 216,34
Bit 173,34
Bit 350,33
Bit 1396,33
Bit 116,33
Bit 45,33
Bit 1602,33
Bit 794,32
Bit 1951,32
Bit 32,32
Bit 354,31
Bit 352,31
Bit 1453,31
Bit 310,31
Bit 1737,31
Bit 89,31
Bit 1747,31
Bit 1308,30
Bit 1733,30
Bit 1573,29
Bit 1004,28
Bit 231,28
Bit 787,27
Bit 1017,27
Bit 940,27
Bit 305,26
Bit 781,26
Bit 1446,26
Bit 1430,26
Bit 162,25
Bit 1270,25
Bit 955,25
Bit 1970,25
Bit 718,25
Bit 277,24
Bit 816,24
Bit 1717,24
Bit 1982,23
Bit 932,23
Bit 1167,23
Bit 1045,23
Bit 1279,23
Bit 1844,22
Bit 502,22
Bit 2033,22
Bit 1980,22
Bit 446,22
Bit 1823,22
Bit 230,22
Bit 699,21
Bit 341,21
Bit 1104,21
Bit 1163,21
Bit 1536,21
Bit 1567,21
Bit 62,21
Bit 2024,21
Bit 138,21
Bit 1431,21
Bit 504,20
Bit 1575,20
Bit 1066,20
Bit 909,20
Bit 237,19
Bit 1691,19
Bit 147,19
Bit 1535,19
Bit 574,19
Bit 519,19
Bit 289,19
Bit 1652,19
Bit 689,19
Bit 13,19
Bit 1162,19
Bit 1745,19
Bit 1243,19
Bit 1168,19
Bit 84,19
Bit 366,19
Bit 2038,19
Bit 1765,18
Bit 1664,18
Bit 335,18
Bit 591,18
Bit 315,18
Bit 115,17
Bit 192,17
Bit 1984,17
Bit 1723,17
Bit 889,17
Bit 1810,17
Bit 1135,17
Bit 984,17
Bit 619,17
Bit 473,17
Bit 1497,17
Bit 1991,16
Bit 1922,16
Bit 1459,16
Bit 1894,16
Bit 1516,16
Bit 1738,16
Bit 684,16
Bit 1639,16
Bit 4,15
Bit 661,15
Bit 1921,15
Bit 778,15
Bit 349,15
Bit 401,15
Bit 143,15
Bit 119,15
Bit 829,15
Bit 2030,15
Bit 693,15
Bit 74,15
Bit 1582,15
Bit 1577,14
Bit 1583,14
Bit 1671,14
Bit 1665,14
Bit 1992,14
Bit 1840,14
Bit 745,14
Bit 197,14
Bit 108,14
Bit 1321,14
Bit 2023,14
Bit 1070,14
Bit 1768,14
Bit 1796,14
Bit 1901,14
Bit 547,14
Bit 1440,14
Bit 83,14
Bit 1696,14
Bit 713,14
Bit 202,14
Bit 1490,14
Bit 1589,13
Bit 325,13
Bit 342,13
Bit 79,13
Bit 1097,13
Bit 407,13
Bit 1290,13
Bit 1274,13
Bit 193,13
Bit 556,13
Bit 281,13
Bit 1645,13
Bit 278,13
Bit 1481,13
Bit 782,13
Bit 1715,13
Bit 1697,13
Bit 1138,13
Bit 57,13
Bit 25,13
Bit 883,12
Bit 78,12
Bit 1363,12
Bit 1077,12
Bit 888,12
Bit 1506,12
Bit 1164,12
Bit 680,12
Bit 1343,12
Bit 623,12
Bit 1731,12
Bit 533,12
Bit 529,12
Bit 551,12
Bit 1233,12
Bit 1347,12
Bit 961,12
Bit 1312,12
Bit 764,12
Bit 194,12
