Feature,Importance
Bit 1171,0.01148018940311248
Bit 650,0.010385048426355152
Bit 807,0.007894447246064225
Bit 1917,0.007830358839406094
Bit 1457,0.0063654124356676955
Bit 1416,0.0060144760175917765
Bit 1152,0.005773727130327791
Bit 1168,0.005544387689211666
Bit 1057,0.005289611256502459
Bit 1019,0.00495536391707025
Bit 981,0.00474161130858598
Bit 283,0.004573773456200677
Bit 314,0.004440802638146442
Bit 1855,0.004349741850513603
Bit 255,0.0043241900502569795
Bit 1160,0.004078612260815402
Bit 667,0.0034311692700227277
Bit 1060,0.0030399695052205668
Bit 1,0.0028366239283304975
Bit 896,0.00280758122301848
Bit 378,0.0028064339316191847
Bit 1750,0.002804876277381433
Bit 45,0.002540061671261062
Bit 1097,0.002515319110587248
Bit 875,0.0023809886475225275
Bit 1004,0.002252973668971522
Bit 1243,0.002182320965206867
Bit 491,0.002170225872403455
Bit 1754,0.002099272602979237
Bit 695,0.0020374495070550045
Bit 935,0.00199674081554724
Bit 720,0.0019819836784694144
Bit 926,0.0019373421919465848
Bit 1308,0.0018317001990647255
Bit 389,0.001821145842012661
Bit 1791,0.0017980838654095056
Bit 1114,0.0017956459081893245
Bit 305,0.001791329304435554
Bit 1088,0.0017816656538779626
Bit 881,0.0017690713767109746
Bit 519,0.0017333402089133084
Bit 289,0.001683200922134597
Bit 1357,0.0016153798576684236
Bit 191,0.0015921141322825672
Bit 1274,0.0015851303337752025
Bit 222,0.00155945128324609
Bit 1722,0.0015561175751333085
Bit 1325,0.001555470526682661
Bit 1199,0.0015385121069808442
Bit 99,0.0015124795359547222
Bit 841,0.0014413207835015029
Bit 1878,0.0014329124049426367
Bit 80,0.001422881309934696
Bit 656,0.0014215906183987481
Bit 1257,0.001392250281912136
Bit 1922,0.001392199115231462
Bit 638,0.0013827207904864337
Bit 1919,0.0013668125249664564
Bit 117,0.0013640038277545681
Bit 1452,0.0013639880095686356
Bit 504,0.001341068492254856
Bit 1292,0.0013310395834124594
Bit 1557,0.0013264235721224256
Bit 1947,0.0013254564092687804
Bit 294,0.001323005659187164
Bit 703,0.0013191300440594234
Bit 675,0.001313708345938125
Bit 1312,0.0012868924751733427
Bit 310,0.0012853572438945092
Bit 1480,0.001270692222423772
Bit 74,0.0012543569186117183
Bit 1224,0.0012444750193652207
Bit 1840,0.0012442679482470523
Bit 1589,0.0012436768868354495
Bit 1928,0.0012271074698581204
Bit 1990,0.0012246339168552327
Bit 1866,0.0012213803979384292
Bit 114,0.0012188543487073136
Bit 909,0.0012130095021636042
Bit 227,0.0012047426179959406
Bit 1145,0.0012045568789919182
Bit 1028,0.0011992737976615699
Bit 486,0.0011861158938864563
Bit 1810,0.00117973194741375
Bit 888,0.001174541333012486
Bit 1039,0.001172933805700154
Bit 1449,0.0011729330907276046
Bit 561,0.0011694661476313042
Bit 715,0.001165568212290015
Bit 1066,0.0011577859806617425
Bit 1162,0.001141827122176608
Bit 1385,0.0011409606481431857
Bit 1683,0.0011388075092705278
Bit 322,0.001136829522656866
Bit 1779,0.001132104106154891
Bit 1391,0.0011318013774234213
Bit 1365,0.001114829469280327
Bit 242,0.001108793080633974
Bit 739,0.0011056324034169284
Bit 43,0.001103100978072948
Bit 1516,0.0011004893202397376
Bit 392,0.001099422436397286
Bit 843,0.0010952954491562075
Bit 473,0.0010898991666958297
Bit 781,0.0010840725399564467
Bit 1535,0.0010822569335725647
Bit 1737,0.0010777827414684997
Bit 1163,0.0010747503374804784
Bit 231,0.0010726779218081255
Bit 216,0.0010651622417137561
Bit 361,0.0010611912316544553
Bit 1771,0.0010601302620746966
Bit 1101,0.0010563799842599163
Bit 955,0.0010395750665734768
Bit 140,0.001034434135623445
Bit 366,0.0010184274470637453
Bit 1825,0.0010110416050246001
Bit 69,0.0010003620506103704
Bit 658,0.000996955122051584
Bit 708,0.0009938627544245704
Bit 890,0.0009929859133900416
Bit 1970,0.000992462610490484
Bit 950,0.0009885224990222733
Bit 1602,0.0009816619695511607
Bit 350,0.0009773719288812118
Bit 387,0.000972835040210253
Bit 2038,0.0009713162579317252
Bit 694,0.0009703319339195127
Bit 1952,0.0009652140471389704
Bit 162,0.0009643654071824075
Bit 1536,0.0009616944885601357
Bit 329,0.0009596196886569476
Bit 197,0.0009583537722051391
Bit 116,0.0009557696875757917
Bit 816,0.0009534117733920726
Bit 802,0.0009508656329393604
Bit 1804,0.0009462982059962804
Bit 13,0.0009395449440694902
Bit 1998,0.0009334595437298958
Bit 718,0.0009331783460196772
Bit 821,0.0009316223291401536
Bit 1991,0.0009281635115938074
Bit 1860,0.0009211933634119286
Bit 790,0.0009204786015159785
Bit 2004,0.000917198403511096
Bit 1305,0.0009148607055470255
Bit 1823,0.0009147625269303925
Bit 1295,0.0009078756017564285
Bit 275,0.0009040230822606432
Bit 207,0.0008972638259509214
Bit 980,0.00089414307633518
Bit 464,0.0008939479139884645
Bit 1765,0.0008927605964368333
Bit 1691,0.0008887397378330329
Bit 233,0.0008836102742466244
Bit 1349,0.0008835041245111615
Bit 1980,0.0008832448502459203
Bit 1697,0.0008817125045427066
Bit 1581,0.0008814495730346477
Bit 315,0.0008801767247300541
Bit 1410,0.0008769105508843536
Bit 1622,0.0008749731508869352
Bit 90,0.0008736442432004074
Bit 249,0.000869842176704912
Bit 1476,0.0008632508488602811
Bit 1573,0.0008628964682714843
Bit 226,0.0008594256344732062
Bit 2009,0.0008557547498524981
Bit 885,0.0008533073741409431
Bit 1951,0.0008527717747066906
Bit 1745,0.0008519491057585524
Bit 1089,0.0008514049333052916
Bit 217,0.0008510713700352986
Bit 325,0.0008508581860577931
Bit 699,0.0008481686622982236
Bit 736,0.0008455731772520159
Bit 470,0.0008455651017339345
Bit 319,0.0008454095061451142
Bit 701,0.0008434958660476286
