CSK_scafold,count,source
C1CCCCC1,63,RNA binders
C1CCC(C2CC3CCCCC3C2)CC1,50,RNA binders
C1CCC(CC2CCC(C3CCCCC3)C2)CC1,49,RNA binders
C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,45,RNA binders
C1CCC(CCCCC2CCCCC2)CC1,44,RNA binders
C1CCC(CCCC2CCCCC2)CC1,41,RNA binders
C1CCC2CCCC2C1,40,RNA binders
C1CCC(C2CCCC2)CC1,39,RNA binders
C1CCC2CCCCC2C1,27,RNA binders
C1CCC(CCC2CCCC2)CC1,26,RNA binders
C1CCC(C2CCCCC2)CC1,26,RNA binders
C1CCC(CC2CCCCC2)CC1,25,RNA binders
C1CCC(CCCCC2CCC3CCCCC23)CC1,25,RNA binders
C1CCC(CC2CCCC3CCCCC32)CC1,22,RNA binders
C1CCC(CCC2CC3CCCCC3C2)CC1,21,RNA binders
C1CCC(CCCCC2CCC3CCCC3C2)CC1,20,RNA binders
C1CCC(CCC2CCCCC2)CC1,20,RNA binders
C1CCC(C2CCCC3CCCCC32)CC1,19,RNA binders
C1CCC(CC2CCCC2)CC1,19,RNA binders
C1CCC(CC2CCC3CCCCC32)CC1,18,RNA binders
C1CCCC1,17,RNA binders
C1CCC(CCCC2CCCC2)CC1,16,RNA binders
C1CCC(CC2CC3CCCCC3C2)CC1,15,RNA binders
C1CCC(CC2CCCC(C3CCCCC3)C2)CC1,15,RNA binders
C1CCC2C(C1)CC1CCCCC12,15,RNA binders
C1CCC(CCC2CC3CCCCC3CC2C2CCCC2)CC1,14,RNA binders
C1CCC(C2CCCC3CCCC32)CC1,12,RNA binders
C1CCC(CC2CCC(C3CCCCC3)CC2)CC1,11,RNA binders
C1CCC(CC2CC3CCCCC3C3CCCC23)CC1,10,RNA binders
C1CCC(CCC2CCC3CCCCC32)CC1,10,RNA binders
C1CCC(CCCCCC2CCCCC2)CC1,10,RNA binders
C1CCC(CC2C3CCCCC3CC2C2CCCCC2)CC1,10,RNA binders
C1CCC(CC2CCCC3CCCC32)CC1,9,RNA binders
C1CCC(C2CCC3CCCCC32)CC1,9,RNA binders
C1CCC(CCCC(CC2CCCCC2)C2CCCCC2)CC1,8,RNA binders
