Murcko_scafold,count,source
c1ccccc1,40,RNA binders
c1ccc(CNc2ncc(-c3ccccc3)[nH]2)cc1,36,RNA binders
c1ccc(CNCc2ccccc2)cc1,27,RNA binders
c1ccc(CCNCc2ccccc2)cc1,24,RNA binders
c1ccc(-c2nc3ccccc3o2)cc1,22,RNA binders
c1ccc(Nc2ccnc3ccccc23)cc1,19,RNA binders
O=C(CCc1cnc2ncnn2c1)Nc1ccccc1,14,RNA binders
O=S(=O)(c1ccccc1)c1coc(-c2ccccc2)n1,12,RNA binders
c1ccc(-c2ccccc2)cc1,11,RNA binders
c1ccc(CNc2nc3ccccc3cc2-c2ncon2)cc1,11,RNA binders
c1ccc(Nc2cc(-c3ccccc3)ncn2)cc1,9,RNA binders
c1ccc2ncccc2c1,9,RNA binders
c1ccc(OCCCn2cnc3ccccc32)cc1,9,RNA binders
c1ccc(CNCCc2c[nH]c3ccccc23)cc1,8,RNA binders
O=S1(=O)N=C(Nc2ccccc2)C=C1c1ccccc1,8,RNA binders
c1ccc(Nc2nc(-c3ccccc3)cs2)cc1,8,RNA binders
c1ccc(-c2nc3ccccc3s2)cc1,7,RNA binders
O=C1Nc2ccccc2C12C=COC=C2,7,RNA binders
c1ccc(CN2CCCCC2)cc1,6,RNA binders
c1ccc(-c2n[nH]c(-c3ccccc3)n2)cc1,6,RNA binders
O=S(=O)(NC[C@H](Nc1ccccc1)c1ccccc1)c1ccccc1,6,RNA binders
c1ccc2scnc2c1,6,RNA binders
c1ccc(-c2cc[nH]n2)cc1,5,RNA binders
c1ccc(-c2cscn2)cc1,5,RNA binders
O=S1(=O)C2=C(OC=C[C@@H]2c2ccccc2)c2ccccc2N1Cc1ccccc1,5,RNA binders
C1=CC(c2ccccc2)C=CO1,5,RNA binders
c1ccc(OCCCN2CCCCC2)cc1,5,RNA binders
c1ccc(-n2nc3ccccc3n2)cc1,5,RNA binders
C1CCOCC1,5,RNA binders
O=c1c(Nc2ccccc2)c(-c2ccccc2)c1=O,5,RNA binders
c1ccc(Nc2nc3ccccc3c3nncn23)cc1,5,RNA binders
