CSK_scafold,count,source
C1CCCCC1,611,RNA non-binders
C1CCC(C2CCCC2)CC1,490,RNA non-binders
C1CCC2CCCC2C1,434,RNA non-binders
C1CCC(CC2CCCCC2)CC1,349,RNA non-binders
C1CCC(CCC2CCCCC2)CC1,305,RNA non-binders
C1CCC(CC2CCC3CCCCC32)CC1,305,RNA non-binders
C1CCC(CC2CCC(C3CCCCC3)C2)CC1,289,RNA non-binders
C1CCC(C2CCCCC2)CC1,279,RNA non-binders
C1CCC(C2CCCC3CCCCC32)CC1,276,RNA non-binders
C1CCC(CC2CCCC2)CC1,258,RNA non-binders
C1CCC2CCCCC2C1,246,RNA non-binders
C1CCCC1,224,RNA non-binders
C1CCC(CCC2CCCC2)CC1,221,RNA non-binders
C1CCC(CCCC2CCCCC2)CC1,217,RNA non-binders
C1CCC(CC2C3CCCCC3CC2C2CCCCC2)CC1,214,RNA non-binders
C1CCC(CCCCC2CCC3CCCCC23)CC1,214,RNA non-binders
C1CCC(CCCCC2CCCCC2)CC1,211,RNA non-binders
C1CCC(CC2CCCC3CCCCC32)CC1,210,RNA non-binders
C1CCC(C2CC3CCCCC3C2)CC1,199,RNA non-binders
C1CCC(CCCC2CCCC2)CC1,189,RNA non-binders
C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,171,RNA non-binders
C1CCC(CC2CCCC3CCCC32)CC1,168,RNA non-binders
C1CCC(CCC2CC3CCCCC3C2)CC1,153,RNA non-binders
C1CCC(CCCCC2CCCC2)CC1,137,RNA non-binders
C1CCC(C2CCCC3CCCC32)CC1,134,RNA non-binders
C1CCC(CC2CC3CCCCC3C2)CC1,129,RNA non-binders
C1CCC(CC2CC3CCCCC3C3CCCC23)CC1,125,RNA non-binders
C1CCC(C2CCC3CCCCC32)CC1,118,RNA non-binders
C1CCC(C2CCC3CCCCC3C2)CC1,117,RNA non-binders
C1CCC(CCCC2CCC3CCCCC32)CC1,117,RNA non-binders
C1CCC(CCC2CCC(CC3CCCCC3)C2)CC1,113,RNA non-binders
C1CCC(CCCC2CCC(C3CCCCC3)C2)CC1,112,RNA non-binders
C1CCC(CC2CCC(C3CCCCC3)CC2)CC1,105,RNA non-binders
C1CCC(CCC2CCC3CCCC3C2)CC1,104,RNA non-binders
C1CCC(CC2CCCC(C3CCCCC3)C2)CC1,102,RNA non-binders
C1CCC(C2CCC(C3CCC(C4CCCCC4)C3)C2)CC1,100,RNA non-binders
C1CCC(CC2CCC3CCCCC3C2)CC1,97,RNA non-binders
C1CCC(C2CC3CCCC3C(C3CCCCC3)C2)CC1,94,RNA non-binders
C1CCC(CCCCCC2CCCCC2)CC1,92,RNA non-binders
C1CCC(C2CCCC3C4CCCCC4CCC23)CC1,91,RNA non-binders
C1CCC2C(C1)CC1CCCCC12,84,RNA non-binders
C1CCC2(CC1)CCC1CCCCC12,83,RNA non-binders
C1CCC(CC2CCCC3CC(C4CCCCC4)CC23)CC1,81,RNA non-binders
C1CCC(CCCCCC2CCCC2)CC1,77,RNA non-binders
C1CCC(CCC2CCC3CCCCC3C2)CC1,75,RNA non-binders
C1CCC(CC2CC3C(C4CCCCC4)CCCC3C3CCCCC23)CC1,74,RNA non-binders
C1CCC(C2CCC(C3CCCCC3)C2)CC1,67,RNA non-binders
C1CCC(CCC2CCC3CCCCC32)CC1,67,RNA non-binders
