Murcko_scafold,count,source
c1ccccc1,319,RNA non-binders
c1ccc(Nc2ccnc3ccccc23)cc1,117,RNA non-binders
c1ccc(OCCCn2cnc3ccccc32)cc1,117,RNA non-binders
c1ccc(-c2noc(-c3cn(-c4ccccc4)nn3)n2)cc1,83,RNA non-binders
O=C1Nc2ccccc2C12C=COC=C2,83,RNA non-binders
c1ccc(Cn2cnc3ccccc32)cc1,82,RNA non-binders
O=C1CCCC2=C1[C@H](c1ccccc1)C=CO2,74,RNA non-binders
c1ccc(Nc2c(-c3ccccc3)nc3cnccn23)cc1,74,RNA non-binders
c1ccc([C@@H]2C[C@H](c3ccccc3)n3ncnc3N2)cc1,69,RNA non-binders
O=S1(=O)C2=C(OC=C[C@@H]2c2ccccc2)c2ccccc2N1Cc1ccccc1,67,RNA non-binders
c1ccc(Nc2ccnc3ncnn23)cc1,64,RNA non-binders
O=C1N[C@H](c2ccccc2)c2c1n[nH]c2-c1ccccc1,62,RNA non-binders
c1ccc2[nH]cnc2c1,61,RNA non-binders
c1ccc(Nc2nc3ccccc3c3nncn23)cc1,61,RNA non-binders
O=C(Nc1ccccc1)c1cn(Cc2ccccc2)nn1,60,RNA non-binders
c1ccncc1,58,RNA non-binders
c1ccc(Nc2nc3ccccc3n3cnnc23)cc1,57,RNA non-binders
c1ccc(CNc2ccc3[nH]cnc3c2)cc1,55,RNA non-binders
c1ccc(CNc2nc3ccccc3cc2-c2ncon2)cc1,50,RNA non-binders
c1ccc(CNc2ncc(-c3ccccc3)[nH]2)cc1,49,RNA non-binders
c1ccc(-c2cc3ncccn3n2)cc1,49,RNA non-binders
c1ccc2ncccc2c1,48,RNA non-binders
c1ccc(-c2cnn3cccnc23)cc1,48,RNA non-binders
c1ccc(Nc2ncnc3ccccc23)cc1,45,RNA non-binders
c1cncnc1,45,RNA non-binders
O=C1O[C@H](Nc2ccccc2)c2ccccc21,44,RNA non-binders
O=C(Cn1cc(C(=O)Nc2ccccc2)nn1)Nc1ccccc1,43,RNA non-binders
c1ccc2[nH]ccc2c1,43,RNA non-binders
c1ccc(-c2nc3ncccn3n2)cc1,43,RNA non-binders
O=c1[nH]c(=O)c2c(ncn2Cc2ccccc2)[nH]1,41,RNA non-binders
c1ccc(OCCn2cnc3ccccc32)cc1,37,RNA non-binders
C1=C[C@H](c2ccccc2)c2c[nH]nc2O1,36,RNA non-binders
c1ccc(-n2nccn2)cc1,36,RNA non-binders
O=C(Nc1ccccc1)c1cc2cccnc2s1,35,RNA non-binders
c1ccc(N[C@H](c2ccccc2)c2nnc(-c3ccccc3)o2)cc1,35,RNA non-binders
O=S(=O)(c1ccccc1)c1coc(-c2ccccc2)n1,35,RNA non-binders
O=S1(=O)N=C(Nc2ccccc2)C=C1c1ccccc1,34,RNA non-binders
c1ccc(Nc2ccnc3nc(-c4ccccc4)nn23)cc1,34,RNA non-binders
c1ccc(Nc2ccnc3nc(-c4cccnc4)nn23)cc1,34,RNA non-binders
c1ccc(-c2ccco2)cc1,33,RNA non-binders
O=S1(=O)N=C(Nc2ccccc2)c2ccccc21,33,RNA non-binders
O=c1c(Nc2ccccc2)c(-c2ccccc2)c1=O,33,RNA non-binders
O=S(=O)(Nc1ccccc1)c1cccnc1,32,RNA non-binders
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,32,RNA non-binders
c1ccc(Nc2c(-c3ccccc3)nc3ncccn23)cc1,32,RNA non-binders
c1ccc(Nc2ncnc3c2CCC3)cc1,32,RNA non-binders
C1=C[C@@H](c2ccccc2)c2c[nH]nc2O1,31,RNA non-binders
O=c1ccoc2c1OC=C[C@@H]2c1ccccc1,31,RNA non-binders
C1=CC(c2ccccc2)C=CO1,31,RNA non-binders
c1cn[nH]c1,30,RNA non-binders
O=C1CN(c2ccccc2)C=C1c1nc2ccccc2[nH]1,30,RNA non-binders
O=C1CCCC2=C1[C@@H](c1ccccc1)C=CO2,30,RNA non-binders
c1ccc(Nc2cc(-c3ccccc3)ncn2)cc1,30,RNA non-binders
O=C(NCc1ccccc1)c1cnn(-c2ccccc2)n1,29,RNA non-binders
c1ccc(-n2ccc3nc4ccccc4nc32)cc1,28,RNA non-binders
