CSK_scafold,count,source
C1CCCCC1,1130,Zinc dark matter
C1CCCC1,417,Zinc dark matter
C1CCC(C2CCCC2)CC1,410,Zinc dark matter
C1CCC2CCCC2C1,386,Zinc dark matter
C1CCC(CCC2CCCCC2)CC1,352,Zinc dark matter
C1CCC(CCCCCC2CCCCC2)CC1,293,Zinc dark matter
C1CCC(CCC2CCCC2)CC1,289,Zinc dark matter
C1CCC(CC2CCCC2)CC1,284,Zinc dark matter
C1CCC(CCCC2CCCC2)CC1,283,Zinc dark matter
C1CCC(CCCCC2CCCCC2)CC1,279,Zinc dark matter
C1CCC2CCCCC2C1,251,Zinc dark matter
C1CCC(CCCC2CCCCC2)CC1,250,Zinc dark matter
C1CCC(CC2CCCCC2)CC1,249,Zinc dark matter
C1CCC(C2CCCCC2)CC1,239,Zinc dark matter
C1CCC(CCCCC2CCCC2)CC1,232,Zinc dark matter
C1CCC(CCCCCC2CCCC2)CC1,157,Zinc dark matter
C1CCC(CC2CCC(C3CCCCC3)C2)CC1,144,Zinc dark matter
C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,139,Zinc dark matter
C(CCCC1CCCCC1)CCC1CCCCC1,131,Zinc dark matter
C1CCC(CCCC2CCC(C3CCCCC3)C2)CC1,113,Zinc dark matter
C1CCC(CC2CCCC(C3CCCCC3)C2)CC1,104,Zinc dark matter
C1CCC(CCC2CCC3CCCCC3C2)CC1,97,Zinc dark matter
C(CCCC1CCCCC1)CCCC1CCCCC1,97,Zinc dark matter
C1CCC(CCCCC2CCC(C3CCCCC3)C2)CC1,95,Zinc dark matter
C1CCC(CC2CCCC2C2CCCCC2)CC1,88,Zinc dark matter
C1CCC(CCCC2CCC3CCCCC3C2)CC1,79,Zinc dark matter
C1CCC(CCC2CC3CCCCC3C2)CC1,77,Zinc dark matter
C1CCC(CCCC2CCCC2)C1,69,Zinc dark matter
C1CCC(C2CCC(CCC3CCCC3)C2)CC1,67,Zinc dark matter
C1CCC(C2CCCC2)C1,66,Zinc dark matter
C1CCC(CC2CCC3CCCCC3C2)CC1,65,Zinc dark matter
C1CCC(C2CCC3CCCCC3C2)CC1,63,Zinc dark matter
C1CCC(C2CCCC3CCCC32)CC1,63,Zinc dark matter
C1CCC(CCCCCC2CCC(C3CCCCC3)C2)CC1,60,Zinc dark matter
C1CCC(C2CC3CCCCC3C2)CC1,60,Zinc dark matter
C(CCCC1CCCC1)CCC1CCCCC1,60,Zinc dark matter
C1CCC(C2CCCC3CCCCC32)CC1,59,Zinc dark matter
C1CCC(CC2CCCC2)C1,59,Zinc dark matter
C1CCC(CCCCC2CCCC2)C1,54,Zinc dark matter
C1CCC(C2CCC3CCCCC32)CC1,53,Zinc dark matter
C1CCC(CCC2CCC3CCCC3C2)CC1,52,Zinc dark matter
C1CCC(CCCCCC2CCC3CCCCC3C2)CC1,52,Zinc dark matter
C1CCC(CCCC(CCC2CCCCC2)CC2CCCCC2)CC1,52,Zinc dark matter
C1CCC(CCCC2CCC3CCCC3C2)CC1,51,Zinc dark matter
C1CCC(C2CCC(C3C(C4CCCCC4)CCC3C3CCCCC3)C2)CC1,50,Zinc dark matter
C1CCC(CCC2CCC(C3CCCC3)C2)CC1,49,Zinc dark matter
C1CCC(C2CCC(CCCC3CCCC3)C2)CC1,48,Zinc dark matter
C1CCC(C2CCC(C3CCCCC3)C2)CC1,48,Zinc dark matter
C1CCC(CCCCC2CC3CCCCC3C2)CC1,47,Zinc dark matter
C1CCC(CC2CCC3CCCCC32)CC1,47,Zinc dark matter
C1CCC(CCC2CCCC2)C1,46,Zinc dark matter
C1CCC(CCC2CCCC3CCCCC32)CC1,45,Zinc dark matter
C1CCC(CCC2CCCC2C2CCCCC2)CC1,45,Zinc dark matter
C1CCC(CCCC2CC3CCCCC3C2)CC1,43,Zinc dark matter
C1CCC(CC2CCC(C3CCCCC3)CC2)CC1,43,Zinc dark matter
C1CCC(C2CCC(CC3CCCC3)C2)CC1,43,Zinc dark matter
C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,42,Zinc dark matter
C1CCC(CCCCC2CCC3CCCCC3C2)CC1,42,Zinc dark matter
C1CCC(CC2CCC(C3CCCC3)CC2)CC1,41,Zinc dark matter
C1CCC(CCCC2CCC3CCCCC32)CC1,41,Zinc dark matter
C1CCC(C2CCCC(C3CCCCC3)C2)CC1,40,Zinc dark matter
C(CCCC1CCCCC1)CCCC1CCCC1,40,Zinc dark matter
C1CC2CCC1C2,40,Zinc dark matter
C1CCC(CCCCCCC2CCCCC2)CC1,40,Zinc dark matter
C1CCC(CCCC2CCCC3CCCCC32)CC1,39,Zinc dark matter
C1CCC(CC2CCC3CCCC3C2)CC1,39,Zinc dark matter
C1CCC(CC2CC3CCCC(C4CCCCC4)C3C2)CC1,39,Zinc dark matter
C1CCC(CC2CCCC(C3CCCC3)C2)CC1,38,Zinc dark matter
C1CCC(C2CCC3CCCC3C2)CC1,38,Zinc dark matter
C1CCC(CC2CC3CCCCC3C2)CC1,37,Zinc dark matter
C1CCC(C2CCC(C3CCCC3)C2)CC1,37,Zinc dark matter
C1CCC2C(C1)CC1CCCCC12,37,Zinc dark matter
C1CCC(CCC2CCC(CC3CCCCC3)C2)CC1,37,Zinc dark matter
C1CCC(CCC2CCC(CCC3CCCCC3)CC2)CC1,37,Zinc dark matter
C1CCC(CCC2CCC3CCCCC32)CC1,36,Zinc dark matter
C1CCC(C2CCC3CCCC32)CC1,35,Zinc dark matter
C1CCC(C2CCCC2C2CCCCC2)CC1,35,Zinc dark matter
C1CCC(CCCCC2CCC3CCCC3C2)CC1,34,Zinc dark matter
C1CCC(CCCC2CCC(CC3CCCCC3)C2)CC1,34,Zinc dark matter
C1CC1,34,Zinc dark matter
C1CCC(C2CCCC2C2C(C3CCCCC3)CCC2C2CCCCC2)CC1,33,Zinc dark matter
C1CCC(C2CCC(CCCCC3CCCC3)C2)CC1,33,Zinc dark matter
C1CCC(C2CCCC2CC2CCCC2)CC1,33,Zinc dark matter
C1CCC(CCCCC2CCCC3CCCCC23)CC1,33,Zinc dark matter
C(CCC1CCCC1)CCC1CCCC1,33,Zinc dark matter
C1CCC(CC2CCC(CC3CCCC3)CC2)CC1,32,Zinc dark matter
C1CCC(CCCC2CCC3CCCCC3C2)C1,31,Zinc dark matter
