Murcko_scafold,count,source
c1ccccc1,668,Zinc dark matter
c1ccncc1,129,Zinc dark matter
O=C(CNc1ccccc1)NCc1ccccc1,98,Zinc dark matter
C1CCNCC1,63,Zinc dark matter
c1cn[nH]c1,61,Zinc dark matter
C1CCCCC1,60,Zinc dark matter
O=C(COc1ccccc1)NCc1ccccc1,56,Zinc dark matter
c1ccsc1,43,Zinc dark matter
O=C(CCCNc1ccccc1)NCc1ccccc1,40,Zinc dark matter
O=C(CNc1ccccc1)N(CCc1ccccc1)Cc1ccccc1,38,Zinc dark matter
c1cncnc1,37,Zinc dark matter
c1ccoc1,37,Zinc dark matter
C1CCNC1,36,Zinc dark matter
c1ccc2ncccc2c1,35,Zinc dark matter
c1ccc2[nH]ccc2c1,33,Zinc dark matter
O=C(CNc1ccccc1)Nc1ccccc1,32,Zinc dark matter
c1ccc(COc2ccccc2)cc1,32,Zinc dark matter
O=C(COc1ccccc1)Nc1ccccc1,29,Zinc dark matter
C1CC1,28,Zinc dark matter
O=C(CSc1nnc(CNC(=O)c2ccccc2)[nH]1)Nc1ccccc1,27,Zinc dark matter
O=c1c2ccccc2ncn1N=Cc1ccccc1,26,Zinc dark matter
c1cc[nH]c1,26,Zinc dark matter
c1ccc(C2CC2)cc1,25,Zinc dark matter
c1ccc(CNc2ccccc2)cc1,24,Zinc dark matter
c1ccc2[nH]cnc2c1,24,Zinc dark matter
O=C(CN(c1ccccc1)S(=O)(=O)c1ccccc1)NCc1ccccc1,23,Zinc dark matter
c1ccc(Cc2ccccc2)cc1,22,Zinc dark matter
C1CCOCC1,22,Zinc dark matter
O=C(CSCc1ccccc1)NCc1ccccc1,20,Zinc dark matter
O=C(CCCNc1ccccc1)N(CCc1ccccc1)Cc1ccccc1,20,Zinc dark matter
c1cscn1,19,Zinc dark matter
c1ccc(-c2ccccc2)cc1,19,Zinc dark matter
O=S(=O)(Nc1ccccc1)c1ccccc1,19,Zinc dark matter
O=C1NC(=S)N(c2ccccc2)C(=O)/C1=C/c1ccccc1,19,Zinc dark matter
C1CNCCN1,19,Zinc dark matter
c1ccc(-n2cccn2)cc1,18,Zinc dark matter
O=C(CN(c1ccccc1)S(=O)(=O)c1ccccc1)N(CCc1ccccc1)Cc1ccccc1,18,Zinc dark matter
C1CCCC1,18,Zinc dark matter
c1ccc2ccccc2c1,18,Zinc dark matter
O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C/c1ccc(OCc2ccccc2)cc1,17,Zinc dark matter
O=S1(=O)CCCC1,17,Zinc dark matter
C1COCCN1,16,Zinc dark matter
O=c1c2ccccc2nc(-c2cc3ccccc3o2)n1N=Cc1ccccc1,16,Zinc dark matter
c1ccc(-n2cccc2)cc1,15,Zinc dark matter
O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C/c1ccccc1,15,Zinc dark matter
C(=N/c1ccccc1)\c1ccccc1,14,Zinc dark matter
C1CCOC1,14,Zinc dark matter
c1ccc(-c2ccco2)cc1,14,Zinc dark matter
c1ccc2scnc2c1,14,Zinc dark matter
O=C(CNc1ccccc1)N/N=C/c1ccccc1,14,Zinc dark matter
O=C1C=C(C(=O)c2ccccc2)[C@@H](c2ccccc2)N1,14,Zinc dark matter
c1ccc2[nH]ncc2c1,13,Zinc dark matter
O=c1/c(=C/c2ccccc2)sc2n1[C@H](c1ccccc1)C=CN=2,13,Zinc dark matter
c1cnoc1,13,Zinc dark matter
S=C(NCc1ccccc1)Nc1ccccc1,12,Zinc dark matter
O=C(NCc1ccccc1)c1ccccc1,12,Zinc dark matter
O=C1CCCN1c1ccccc1,12,Zinc dark matter
c1ccc2occc2c1,12,Zinc dark matter
O=c1cccc[nH]1,12,Zinc dark matter
c1ccn2ccnc2c1,12,Zinc dark matter
c1ccc2c(c1)OCCO2,12,Zinc dark matter
c1ccc(CN2CCNCC2)cc1,12,Zinc dark matter
O=C1C=C(C(=O)c2ccccc2)[C@H](c2ccccc2)N1,12,Zinc dark matter
O=C(COC(=O)c1ccccc1)Nc1ccccc1,12,Zinc dark matter
c1ccc(B2OCCO2)cc1,11,Zinc dark matter
O=c1c2ccccc2nc(-c2ccccc2)n1N=Cc1ccccc1,11,Zinc dark matter
O=c1/c(=C/c2ccccc2)sc2n1[C@@H](c1ccccc1)C=CN=2,11,Zinc dark matter
